job_grouped,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,nr_employed,y,date,latitude,longitude,id_,year,age_iterative,euribor3m_iterative,Income,Kid_Home,Teen_Home,Dt_Customer,Num_Web_Visits_Month,Join_Year,Customer_tenure_days,Customer_tenure_years,High_web_visit_flag,Web_engagement_score,Web_visit_intensity,Tenure_vs_campaign_effort,duration_norm,Engagement_score_total,Overall_interaction_score,Contact_effort_ratio,Avg_duration_per_contact,Web_activity_per_contact
manual,married,basic 4y,0.0,0.0,0.0,telephone,261,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2019-08-02,41.495,-71.233,089b39d8-e4d0-461b-87d4-814d71e0e079,2019,40.27111076831546,4.9,161770,1,0,2012-04-04,29,2012,2676.0,7.331506849315068,1,0.9032258064516129,3.955530642750374,0.13639760837070256,0.05307035380235868,0.9562961602539716,1.092693768624674,1.0,261.0,29.0
technical,married,high school,,0.0,0.0,telephone,149,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2016-09-14,34.601,-83.923,e9d37224-cb6f-4942-98d7-46672963d097,2016,57.0,3.927951856823928,85477,1,1,2012-12-30,7,2012,1354.0,3.7095890410958905,0,0.1935483870967742,1.8870014771048744,0.2695716395864106,0.03029686864579097,0.22384525574256517,0.4934168953289758,1.0,149.0,7.0
technical,married,high school,0.0,1.0,0.0,telephone,226,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2019-02-15,34.939,-94.847,3f9f49b5-e410-4948-bf6e-f9244f04918b,2019,37.0,4.9,147233,1,1,2012-02-02,5,2012,2570.0,7.041095890410959,0,0.12903225806451613,0.7101167315175098,0.14202334630350194,0.045953639690931275,0.1749858977554474,0.31700924405894937,1.0,226.0,5.0
administrative,married,basic 6y,0.0,0.0,0.0,telephone,151,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2015-11-29,49.041,-70.308,9991fafb-4447-451a-8be2-b0df6098d13e,2015,40.0,3.645733577343351,121393,1,2,2012-12-21,29,2012,1073.0,2.9397260273972603,1,0.9032258064516129,9.864864864864865,0.3401677539608574,0.030703538023586822,0.9339293444751997,1.2740970984360571,1.0,151.0,29.0
technical,married,high school,0.0,0.0,1.0,telephone,307,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2017-01-29,38.033,-104.463,eca60b76-70b6-4077-80ba-bc52e8ebb0eb,2017,56.0,3.9113507815603654,63164,1,2,2012-06-20,20,2012,1684.0,4.6136986301369864,0,0.6129032258064516,4.334916864608076,0.2167458432304038,0.06242374949166328,0.6753269752981149,0.8920728185285187,1.0,307.0,20.0
technical,married,basic 9y,,0.0,0.0,telephone,198,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2015-09-26,24.689,-101.643,d63ede72-0b6d-45b1-8872-385ac6897f65,2015,45.0,4.9,143854,0,1,2012-01-24,26,2012,1341.0,3.673972602739726,1,0.8064516129032258,7.076808351976137,0.2721849366144668,0.04026026840178935,0.8467118813050151,1.1188968179194818,1.0,198.0,26.0
administrative,married,professional course,0.0,0.0,0.0,telephone,139,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2019-01-25,31.456,-94.561,5e3483e5-236d-437d-8351-541f9d09b9dd,2019,59.0,4.9,76439,1,0,2012-08-15,3,2012,2354.0,6.449315068493151,0,0.06451612903225806,0.46516567544604925,0.15505522514868308,0.028263521756811714,0.09277965078906977,0.24783487593775286,1.0,139.0,3.0
manual,married,,,0.0,0.0,telephone,217,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2017-09-25,46.871,-122.235,87fdc08b-30ae-4dab-803f-561ecdf27ff0,2017,40.27111076831546,4.9,159686,1,1,2012-12-10,21,2012,1750.0,4.794520547945205,0,0.6451612903225806,4.380000000000001,0.20857142857142857,0.044123627490849936,0.6892849178134306,0.8978563463848592,1.0,217.0,21.0
technical,single,professional course,0.0,1.0,0.0,telephone,380,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2018-01-18,44.632,-85.811,87b79988-2be5-419d-88f4-56655852c565,2018,24.0,4.9,179933,0,0,2012-08-22,18,2012,1975.0,5.410958904109589,0,0.5483870967741935,3.3265822784810126,0.1848101265822785,0.07726718178121188,0.6256542785554053,0.8104644051376838,1.0,380.0,18.0
technical,single,high school,0.0,1.0,0.0,telephone,50,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2016-11-02,30.297,-117.382,ea6b7d04-9271-4c0a-a01f-07795d164aba,2016,25.0,3.3967174483899,77504,1,0,2012-02-09,18,2012,1728.0,4.734246575342466,0,0.5483870967741935,3.802083333333333,0.21122685185185186,0.010166734444896299,0.5585538312190899,0.7697806830709417,1.0,50.0,18.0
